id,asin,name,price,affiliate_url,tags,posted,hook
p001,B0CDWRJ32Q,TP-Link WiFi6ルーター Archer AX23V (Amazon.co.jp限定 AX1800 3年保証),5980,https://www.amazon.co.jp/dp/B0CDWRJ32Q?tag=kousena9-22,WiFiルーター|ガジェット|在宅ワーク,true,在宅ワーク中にWi-Fiが急に不安定になる、あの地味なストレス。ルーター1つで意外と解決したりします。
p002,B09FXXKNKZ,Anker PowerLine III Flow USB-C&USB-Cケーブル 1.8m (絡まない 100W),,https://www.amazon.co.jp/dp/B09FXXKNKZ?tag=kousena9-22,充電ケーブル|Anker|ガジェット,true,カバンの中で充電ケーブルが絡まってるの、なんだかんだ地味にイライラする。
p003,B07281KT58,エレコム ワイヤレステンキー TK-TDM017BK (USB-A 1000万回耐久),,https://www.amazon.co.jp/dp/B07281KT58?tag=kousena9-22,PC周辺機器|エレコム|デスク環境,true,ノートPCで数字入力が多い作業、テンキーがあるだけで地味に速くなる。
p004,B087BTXHX4,ロジクール G203 有線ゲーミングマウス LIGHTSYNC (85g軽量),,https://www.amazon.co.jp/dp/B087BTXHX4?tag=kousena9-22,ゲーミングマウス|ロジクール|ゲーミング,true,ゲーミングマウス、実は3000円台でも十分な軽さと反応速度のものがある。
p005,B09B8P3RK1,Amazon Echo Dot 第5世代 (Alexa スマートスピーカー),,https://www.amazon.co.jp/dp/B09B8P3RK1?tag=kousena9-22,スマートスピーカー|Alexa|スマートホーム,true,「アレクサ、電気消して」で布団から出ずに消灯できる生活、一度慣れると戻れない。
p006,B09YN7KN1Q,TESSAN USB電源タップ (AC3口+TypeA2+TypeC1 コンパクト),,https://www.amazon.co.jp/dp/B09YN7KN1Q?tag=kousena9-22,電源タップ|デスク環境|ガジェット,true,デスク周りのコンセント、気づいたら足りなくなってる問題。
p007,B0CCJFY2V4,Anker Nano Power Bank (22.5W USB-C一体型 5000mAh),,https://www.amazon.co.jp/dp/B0CCJFY2V4?tag=kousena9-22,モバイルバッテリー|Anker|ガジェット,true,外出先でスマホの充電が心もとない瞬間、地味に焦る。ケーブル要らずでポケットに入るサイズなのは正直ありがたい。
p008,B08DKQ3JG1,Quntis モニターライト L205-QU (40cm 高演色 無段階調光),,https://www.amazon.co.jp/dp/B08DKQ3JG1?tag=kousena9-22,モニターライト|デスク環境|在宅ワーク,true,天井の照明だと画面が反射して見づらい、地味なストレス。モニターの上に置くタイプなら手元だけ明るくできる。
p009,B0967W2YWJ,MOFT ノートPCスタンド 貼り付け式 (15°&25°二段階調整 16インチまで),,https://www.amazon.co.jp/dp/B0967W2YWJ?tag=kousena9-22,ノートPCスタンド|デスク環境|在宅ワーク,true,ノートPCを画面の高さのまま使ってると、地味に首と肩が疲れる。折りたたみ1枚で猫背対策になる。
p010,B07ST84PF5,Anker USB3.0 ウルトラスリム 4ポートハブ,,https://www.amazon.co.jp/dp/B07ST84PF5?tag=kousena9-22,USBハブ|Anker|PC周辺機器,true,ノートPCのUSBポートが足りなくて、地味に抜き差しが面倒なやつ。ハブ1個挿すだけで解決する。
p011,B0DRVB48LJ,Anker Soundcore Liberty 5 完全ワイヤレスイヤホン (Bluetooth5.4 ノイズキャンセリング),,https://www.amazon.co.jp/dp/B0DRVB48LJ?tag=kousena9-22,イヤホン|Anker|ガジェット,true,安いワイヤレスイヤホン、ノイキャンだけは妥協したくない人向け。
p012,B09TSD7NJV,Anker マグネットケーブルホルダー,,https://www.amazon.co.jp/dp/B09TSD7NJV?tag=kousena9-22,ケーブルホルダー|デスク環境|Anker,true,充電ケーブルが机の下に落ちて毎回探す、あの地味な時間ロス。
p013,B0BZ7DGSSJ,FEZIBO電動昇降式デスク (幅100cm 収納棚付き モニタースタンド),,https://www.amazon.co.jp/dp/B0BZ7DGSSJ?tag=kousena9-22,電動昇降デスク|デスク環境|在宅ワーク,true,座りっぱなしで腰が痛くなるの、みんなどう対策してますか。ボタン一つで立ち作業に切り替えられるだけで地味に楽になる。
